filename,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
genrenew30\sufi\su13.mp3,0.25811875,0.088871725,0.07430104,0.000277051,2240.354089,144603.7087,2292.094675,63718.4032,4836.670753,1105638.614,0.105833827,0.000815647,-2.50E-06,0.004389866,-1.35E-05,0.000427215,103.359375,-165.7553,1231.5687,89.5984,463.0579,-21.769169,228.62141,5.9844112,181.88072,-31.674185,189.26796,-1.7564203,93.67942,-15.606566,117.0737,-0.06876801,163.7846,-31.430136,185.45741,6.9396005,141.88226,-2.538167,94.156166,4.945543,67.84902,-8.911325,103.71827,-12.09053,77.71378,-9.946707,76.640465,2.316271,88.885315,-15.7876,89.33594,-5.0473356,78.59404,-10.075037,76.07493,-12.3713875,88.01771,sufi
genrenew30\sufi\su14.mp3,0.37944105,0.086390905,0.1996331,0.003974482,2155.701524,196522.2818,2396.411943,86888.08752,4942.795112,1580524.095,0.094349392,0.00078938,-1.90E-06,0.023967108,1.31E-05,0.008129736,103.359375,-55.91286,1793.4214,106.45656,424.56003,-4.204906,257.49057,21.526981,224.02269,-7.2290797,316.32864,9.457796,143.48195,-20.583618,158.66637,14.682087,103.78701,-25.268267,142.91519,17.510706,85.638916,-1.8340124,107.54322,4.957739,87.74002,-1.3812609,76.31473,-1.8320078,66.3881,-4.9722714,65.57759,5.984205,72.07942,-4.6356635,73.85892,-3.2137341,66.73432,-0.16303952,70.453026,-10.4589405,62.22579,sufi
genrenew30\sufi\su15.mp3,0.36860093,0.090436265,0.21351619,0.003036935,2186.139205,227366.0598,2416.940229,92301.52034,5084.68592,1614557.655,0.097383009,0.00104876,4.12E-06,0.025861671,-3.65E-06,0.009680438,107.6660156,-47.86532,1500.5782,102.88192,448.2649,-3.2687337,358.9528,19.096119,207.9879,-8.168421,355.62637,7.0174932,137.10953,-22.951216,163.92172,12.343046,100.29393,-23.445974,138.93542,14.495159,95.10912,-2.740704,91.45055,4.184003,67.90425,-2.050355,68.77612,-2.2730753,72.00069,-4.22568,57.005478,3.3819704,68.07027,-4.685844,68.50901,-2.5249915,56.864044,-3.4927018,68.23014,-12.871205,72.185616,sufi
genrenew30\sufi\su16.mp3,0.354984,0.08351892,0.09309462,0.000694266,2578.923278,241265.6932,2603.96951,86242.50313,5563.008028,1377190.725,0.110535613,0.001269199,2.81E-07,0.005057553,2.00E-06,0.001755609,117.4538352,-105.994606,1354.3208,83.03514,295.87256,-11.413995,249.90587,10.146779,202.7442,-1.5447408,155.05588,8.797908,173.93182,-3.7410798,98.59899,4.5626626,91.18623,1.9454085,59.459015,8.832858,73.57377,-4.8142853,49.832127,7.005339,77.95026,2.191483,61.68041,-0.1490041,60.716125,-0.18094534,57.694622,-3.1443846,51.67725,-7.2925334,45.55191,-1.543311,49.166153,-1.3140945,78.60688,3.2683616,70.6421,sufi
genrenew30\sufi\su17.mp3,0.3262196,0.08856566,0.112802535,0.001069472,2460.268488,220066.9311,2446.871764,106418.1912,5175.160373,1438648.697,0.113545421,0.000963151,-4.10E-06,0.008664022,1.23E-05,0.002206848,117.4538352,-96.88592,1163.3379,85.271996,321.06067,-20.557667,239.04149,9.346424,217.55899,-5.0797048,123.75395,13.147381,122.69967,1.2123688,92.88514,9.599594,91.19522,1.5525212,74.79156,11.532165,105.99544,-3.3522208,96.35217,4.008043,66.61211,0.5869237,47.795864,-2.3280783,50.38623,-2.5883813,50.894665,2.24705,58.055016,-3.9220927,62.964542,-0.20055304,67.030815,0.46807104,93.06025,3.5853672,90.3286,sufi
genrenew30\sufi\su18.mp3,0.35679263,0.08412797,0.10819141,0.00088218,2605.69843,259989.3533,2542.395493,77666.43794,5495.533436,1365622.242,0.122165928,0.001916077,1.41E-06,0.007385479,3.56E-05,0.002234198,117.4538352,-94.19483,1349.036,80.863594,388.11188,-14.434315,200.45444,12.565563,239.69125,-5.591915,142.56546,12.739477,228.78076,-3.111305,105.88717,12.336862,107.21996,2.84325,72.42647,8.485519,82.46734,-4.0332985,59.258266,7.9125004,80.9202,-0.095821604,90.50515,-0.07247122,84.67723,-2.3947356,67.87265,0.96214235,70.32228,-5.520937,75.23525,1.0821701,68.85444,0.52136874,90.958145,3.706466,89.43417,sufi
genrenew30\sufi\su19.mp3,0.34984463,0.08766696,0.11218706,0.001186833,2588.424653,290779.7192,2524.906068,77620.24485,5386.475762,1520785.176,0.126397951,0.0022852,-1.01E-06,0.007894801,3.18E-05,0.002429336,117.4538352,-90.59091,1209.337,82.9148,433.58722,-15.8999405,206.43614,7.8700566,210.77637,-7.577333,147.99681,10.229636,137.94833,1.4597062,119.13128,4.1815696,72.64315,-0.9588273,77.11131,9.885249,96.68388,-3.8419185,75.134735,6.5578804,103.931046,1.900721,74.11484,-4.714681,92.29726,-4.022075,56.479942,1.4216256,69.209496,-7.792145,86.87729,3.5174263,79.324524,-0.21854497,112.9232,2.6673949,98.35942,sufi
genrenew30\sufi\su20.mp3,0.33150142,0.08762511,0.107378095,0.001895948,1661.371942,306226.9477,2229.182533,164294.6782,3710.810895,2157796.234,0.060119818,0.000833965,-1.07E-06,0.00941071,-4.87E-05,0.001626497,129.1992188,-175.30324,1832.3042,113.69413,534.07635,16.840647,290.2064,34.50068,201.02567,5.2275767,622.3252,15.354262,143.24493,0.94355625,158.15453,1.562772,87.50314,-8.989227,184.64664,5.8535576,137.27951,1.1350108,84.1149,9.326994,110.00785,3.5488436,111.21014,3.1090333,97.91046,-5.2464447,68.82033,3.742882,76.49057,-8.933459,65.88777,4.4186277,52.27882,0.43112314,60.779884,-4.2420883,74.411354,sufi
genrenew30\sufi\su21.mp3,0.4149146,0.08665891,0.23967218,0.008189133,1770.082282,404494.5046,2291.087394,148223.5573,4105.566841,2304949.392,0.058036686,0.001605313,-1.41E-05,0.0396524,-0.000385575,0.009119137,129.1992188,-84.18859,2361.465,108.715355,669.461,16.402311,209.13525,34.22324,142.06042,-4.2917137,276.04697,20.464598,65.974724,3.2307215,106.6752,6.324585,78.12015,-4.1031375,97.40265,8.601022,73.62066,4.2870073,59.049488,3.1800268,54.162575,0.6436521,45.593708,1.4532455,53.845516,-3.1615875,37.30474,4.519703,39.078136,-0.71795267,39.179478,7.5525765,46.24807,0.9077833,41.006172,-1.2960745,44.34491,sufi
genrenew30\sufi\su22.mp3,0.37705922,0.088276014,0.23371902,0.008721778,1953.002719,768208.7887,2359.593947,211420.8823,4449.931425,3126151.947,0.071055126,0.003639157,-2.54E-05,0.036302716,-0.00019884,0.010289368,129.1992188,-83.540474,2418.036,101.20478,920.3628,15.064809,327.21347,35.53542,230.31937,1.483339,218.61649,18.240698,84.74048,-3.6961946,81.3709,5.5375457,102.96348,0.32524973,149.5201,7.220968,62.49449,1.2819262,48.545605,4.7198625,64.78902,0.9842692,63.444393,1.2126985,57.895008,-2.108912,51.32616,2.9660294,53.886303,-4.419894,48.45941,4.7658973,48.12477,-2.3605866,47.156635,-5.688825,72.02242,sufi
